# x y z nx ny nz
10.800000 9.800000 9.900000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.800000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.700000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.600000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.500000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.400000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.300000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.200000 -1.000000 0.000000 0.000000
10.800000 9.800000 9.100000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.900000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.800000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.700000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.600000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.500000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.400000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.300000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.200000 -1.000000 0.000000 0.000000
10.800000 9.900000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.000000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.100000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.200000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.300000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.400000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.500000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.200000 -1.000000 0.000000 0.000000
10.800000 10.600000 9.100000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.900000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.800000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.700000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.600000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.500000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.400000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.300000 -1.000000 0.000000 0.000000
10.800000 10.700000 9.200000 -1.000000 0.000000 0.000000
